LO_id,status,first_score,best_score,attempts,active_time
lo1,completed,89,89,1,120
lo2,completed,77,77,1,111
lo3,completed,12,83,2,551
lo4,completed,66,66,1,30
lo5,completed,31,71,3,619
lo6,completed,82,82,1,82
lo7,completed,98,98,3,118
lo8,completed,0,65,5,700
lo9,completed,100,100,1,45
lo10,completed,30,100,2,49
lo11,completed,11,11,1,89
lo12,completed,100,100,1,79
lo13,completed,100,100,3,240
lo14,completed,33,66,2,120
lo15,completed,100,100,1,61
lo16,completed,70,70,1,80
lo17,completed,10,100,9,700
lo18,completed,32,90,2,100
lo19,completed,,,1,0
lo20,completed,,,1,0
lo21,inProgress,,,0,31
lo22,notStarted,,,0,0
lo23,notStarted,,,0,0
lo24,completed,54,100,2,110
lo25,completed,100,100,1,98
lo26,completed,8,67,4,921
lo27,completed,36,72,2,123
lo28,completed,67,67,1,22
lo29,completed,45,45,1,88
lo30,completed,90,90,1,33
lo31,completed,67,67,1,341
lo32,completed,40,80,2,332
lo33,completed,60,60,1,121
lo34,notStarted,100,100,1,201
lo35,notStarted,60,70,2,322
lo36,notStarted,80,80,1,87
lo37,notStarted,33,66,3,199
lo38,notStarted,90,90,1,87
lo39,notStarted,70,70,1,99
lo40,notStarted,,,0,0
lo41,notStarted,,,0,0
lo42,notStarted,,,0,0
lo43,notStarted,,,0,0
lo44,notStarted,,,0,0
lo45,notStarted,,,0,0
lo46,notStarted,,,0,0
lo47,notStarted,,,0,0
lo48,notStarted,,,0,0
lo49,notStarted,,,0,0
lo50,notStarted,,,0,0
lo51,notStarted,,,0,0
lo52,notStarted,,,0,0
lo53,notStarted,,,0,0
lo54,notStarted,,,0,0
lo55,notStarted,,,0,0
lo56,notStarted,,,0,0
lo57,notStarted,,,0,0
lo58,notStarted,,,0,0
lo59,notStarted,,,0,0
lo60,notStarted,,,0,0
lo61,notStarted,,,0,0
lo62,notStarted,,,0,0
lo63,notStarted,,,0,0
lo64,notStarted,,,0,0
lo65,notStarted,,,0,0
lo66,notStarted,,,0,0
lo67,notStarted,,,0,0
lo68,notStarted,,,0,0
lo69,notStarted,,,0,0
lo70,notStarted,,,0,0
lo71,notStarted,,,0,0
lo72,notStarted,,,0,0
lo73,notStarted,,,0,0
lo74,notStarted,,,0,0
lo75,notStarted,,,0,0
lo76,notStarted,,,0,0
lo77,notStarted,,,0,0
lo78,notStarted,,,0,0
lo79,notStarted,,,0,0
lo80,notStarted,,,0,0
lo81,notStarted,,,0,0
lo82,notStarted,,,0,0
lo83,notStarted,,,0,0
lo84,notStarted,,,0,0
lo85,notStarted,,,0,0
lo86,notStarted,,,0,0
lo87,notStarted,,,0,0
lo88,notStarted,,,0,0
lo89,notStarted,,,0,0
lo90,notStarted,,,0,0
lo91,notStarted,,,0,0
lo92,notStarted,,,0,0
lo93,notStarted,,,0,0
lo94,notStarted,,,0,0
lo95,notStarted,,,0,0
lo96,notStarted,,,0,0
lo97,notStarted,,,0,0
lo98,notStarted,,,0,0
lo99,notStarted,,,0,0
lo100,notStarted,,,0,0
lo101,notStarted,,,0,0
lo102,notStarted,,,0,0
lo103,notStarted,,,0,0
lo104,notStarted,,,0,0
lo105,notStarted,,,0,0
lo106,notStarted,,,0,0
lo107,notStarted,,,0,0
lo108,notStarted,,,0,0
lo109,notStarted,,,0,0
lo110,notStarted,,,0,0
lo111,notStarted,,,0,0
lo112,notStarted,,,0,0
lo113,notStarted,,,0,0
lo114,notStarted,,,0,0
lo115,notStarted,,,0,0
lo116,notStarted,,,0,0
lo117,notStarted,,,0,0
lo118,notStarted,,,0,0
lo119,notStarted,,,0,0
lo120,notStarted,,,0,0
lo121,notStarted,,,0,0
lo122,notStarted,,,0,0
lo123,notStarted,,,0,0
lo124,notStarted,,,0,0
lo125,notStarted,,,0,0
lo126,notStarted,,,0,0
lo127,notStarted,,,0,0
lo128,notStarted,,,0,0
lo129,notStarted,,,0,0
lo130,notStarted,,,0,0
lo131,notStarted,,,0,0
lo132,notStarted,,,0,0
lo133,notStarted,,,0,0
lo134,notStarted,,,0,0
lo135,notStarted,,,0,0
lo136,notStarted,,,0,0
lo137,notStarted,,,0,0
lo138,notStarted,,,0,0
lo139,notStarted,,,0,0
lo140,notStarted,,,0,0
lo141,notStarted,,,0,0
lo142,notStarted,,,0,0
lo143,notStarted,,,0,0
lo144,notStarted,,,0,0
lo145,notStarted,,,0,0
lo146,notStarted,,,0,0
lo147,notStarted,,,0,0
lo148,notStarted,,,0,0
lo149,notStarted,,,0,0
lo150,notStarted,,,0,0
lo151,notStarted,,,0,0
lo152,notStarted,,,0,0
lo153,notStarted,,,0,0
lo154,notStarted,,,0,0
lo155,notStarted,,,0,0
lo156,notStarted,,,0,0
lo157,notStarted,,,0,0
lo158,notStarted,,,0,0
lo159,notStarted,,,0,0
lo160,notStarted,,,0,0
lo161,notStarted,,,0,0
lo162,notStarted,,,0,0
lo163,notStarted,,,0,0
lo164,notStarted,,,0,0
lo165,notStarted,,,0,0
lo166,notStarted,,,0,0
lo167,notStarted,,,0,0
lo168,notStarted,,,0,0
lo169,notStarted,,,0,0
lo170,notStarted,,,0,0
lo171,notStarted,,,0,0
lo172,notStarted,,,0,0
lo173,notStarted,,,0,0
lo174,notStarted,,,0,0
lo175,notStarted,,,0,0
lo176,notStarted,,,0,0
lo177,notStarted,,,0,0
lo178,notStarted,,,0,0
lo179,notStarted,,,0,0
lo180,notStarted,,,0,0
lo181,notStarted,,,0,0
lo182,notStarted,,,0,0
lo183,notStarted,,,0,0
lo184,notStarted,,,0,0
lo185,notStarted,,,0,0
lo186,notStarted,,,0,0
lo187,notStarted,,,0,0
lo188,notStarted,,,0,0
lo189,notStarted,,,0,0
lo190,notStarted,,,0,0
lo191,notStarted,,,0,0
lo192,notStarted,,,0,0
lo193,notStarted,,,0,0
lo194,notStarted,,,0,0
lo195,notStarted,,,0,0
lo196,notStarted,,,0,0
lo197,notStarted,,,0,0
lo198,notStarted,,,0,0
lo199,notStarted,,,0,0
lo200,notStarted,,,0,0
lo201,notStarted,,,0,0
lo202,notStarted,,,0,0
lo203,notStarted,,,0,0
lo204,notStarted,,,0,0
lo205,notStarted,,,0,0
lo206,notStarted,,,0,0
lo207,notStarted,,,0,0
lo208,notStarted,,,0,0
lo209,notStarted,,,0,0
lo210,notStarted,,,0,0
lo211,notStarted,,,0,0
lo212,notStarted,,,0,0
lo213,notStarted,,,0,0
lo214,notStarted,,,0,0
lo215,notStarted,,,0,0
lo216,notStarted,,,0,0
lo217,notStarted,,,0,0
lo218,notStarted,,,0,0
lo219,notStarted,,,0,0
lo220,notStarted,,,0,0
lo221,notStarted,,,0,0
lo222,notStarted,,,0,0
lo223,notStarted,,,0,0
lo224,notStarted,,,0,0
lo225,notStarted,,,0,0
lo226,notStarted,,,0,0
lo227,notStarted,,,0,0
lo228,notStarted,,,0,0
lo229,notStarted,,,0,0
lo230,notStarted,,,0,0
lo231,notStarted,,,0,0
lo232,notStarted,,,0,0
lo233,notStarted,,,0,0
lo234,notStarted,,,0,0
lo235,notStarted,,,0,0
lo236,notStarted,,,0,0
lo237,notStarted,,,0,0
lo238,notStarted,,,0,0
lo239,notStarted,,,0,0
lo240,notStarted,,,0,0
lo241,notStarted,,,0,0
lo242,notStarted,,,0,0
lo243,notStarted,,,0,0
lo244,notStarted,,,0,0
lo245,notStarted,,,0,0
lo246,notStarted,,,0,0
lo247,notStarted,,,0,0
lo248,notStarted,,,0,0
lo249,notStarted,,,0,0
lo250,notStarted,,,0,0
lo251,notStarted,,,0,0
lo252,notStarted,,,0,0
lo253,notStarted,,,0,0
lo254,notStarted,,,0,0
lo255,notStarted,,,0,0
lo256,notStarted,,,0,0
lo257,notStarted,,,0,0
lo258,notStarted,,,0,0
lo259,notStarted,,,0,0
lo260,notStarted,,,0,0
lo261,notStarted,,,0,0
lo262,notStarted,,,0,0
lo263,notStarted,,,0,0
lo264,notStarted,,,0,0
lo265,notStarted,,,0,0
lo266,notStarted,,,0,0
lo267,notStarted,,,0,0
lo268,notStarted,,,0,0
lo269,notStarted,,,0,0
lo270,notStarted,,,0,0
lo271,notStarted,,,0,0
lo272,notStarted,,,0,0
lo273,notStarted,,,0,0
lo274,notStarted,,,0,0
lo275,notStarted,,,0,0
lo276,notStarted,,,0,0
lo277,notStarted,,,0,0
lo278,notStarted,,,0,0
lo279,notStarted,,,0,0
lo280,notStarted,,,0,0
lo281,notStarted,,,0,0
lo282,notStarted,,,0,0
lo283,notStarted,,,0,0
lo284,notStarted,,,0,0
lo285,notStarted,,,0,0
lo286,notStarted,,,0,0
lo287,notStarted,,,0,0
lo288,notStarted,,,0,0
lo289,notStarted,,,0,0
lo290,notStarted,,,0,0
lo291,notStarted,,,0,0
lo292,notStarted,,,0,0
lo293,notStarted,,,0,0
lo294,notStarted,,,0,0
lo295,notStarted,,,0,0
lo296,notStarted,,,0,0
lo297,notStarted,,,0,0
lo298,notStarted,,,0,0
lo299,notStarted,,,0,0
lo300,notStarted,,,0,0
lo301,notStarted,,,0,0
lo302,notStarted,,,0,0
lo303,notStarted,,,0,0
lo304,notStarted,,,0,0
lo305,notStarted,,,0,0
lo306,notStarted,,,0,0
lo307,notStarted,,,0,0
lo308,notStarted,,,0,0
lo309,notStarted,,,0,0
lo310,notStarted,,,0,0
lo311,notStarted,,,0,0
lo312,notStarted,,,0,0
lo313,notStarted,,,0,0
lo314,notStarted,,,0,0
lo315,notStarted,,,0,0
lo316,notStarted,,,0,0
lo317,notStarted,,,0,0
lo318,notStarted,,,0,0
lo319,notStarted,,,0,0
lo320,notStarted,,,0,0
lo321,notStarted,,,0,0
lo322,notStarted,,,0,0
lo323,notStarted,,,0,0
lo324,notStarted,,,0,0
lo325,notStarted,,,0,0
lo326,notStarted,,,0,0
lo327,notStarted,,,0,0
lo328,notStarted,,,0,0
lo329,notStarted,,,0,0
lo330,notStarted,,,0,0
lo331,notStarted,,,0,0
lo332,notStarted,,,0,0
lo333,notStarted,,,0,0
lo334,notStarted,,,0,0
lo335,notStarted,,,0,0
lo336,notStarted,,,0,0
lo337,notStarted,,,0,0
lo338,notStarted,,,0,0
lo339,notStarted,,,0,0
lo340,notStarted,,,0,0
lo341,notStarted,,,0,0
lo342,notStarted,,,0,0
lo343,notStarted,,,0,0
