LO_id,status,first_score,best_score,attempts,active_time,,,,
lo1,completed,20,100,2,123,Lesson 1.1,Vocabulary catch-up,lo1,FALSE
lo2,completed,100,100,1,83,Lesson 1.1,Vocabulary 1,lo2,FALSE
lo3,completed,90,90,1,48,Lesson 1.1,Vocabulary 2,lo3,FALSE
lo4,completed,10,70,2,534,Lesson 1.1,Vocabulary 3,lo4,FALSE
lo5,completed,75,75,1,74,Lesson 1.1,Vocabulary 4,lo5,FALSE
lo6,completed,65,75,2,91,Lesson 1.1,Grammar catch-up,lo6,FALSE
lo7,completed,75,75,1,129,Lesson 1.1,Grammar activity 1,lo7,FALSE
lo8,completed,30,80,3,321,Lesson 1.1,Grammar activity 2,lo8,FALSE
lo9,completed,100,100,1,484,Lesson 1.1,Grammar activity 3,lo9,FALSE
lo10,completed,90,90,1,223,Lesson 1.2,Vocabulary catch-up,lo10,FALSE
lo11,completed,70,90,2,554,Lesson 1.2,Vocabulary 1,lo11,FALSE
lo12,completed,30,100,4,444,Lesson 1.2,Vocabulary 2,lo12,FALSE
lo13,completed,100,100,1,221,Lesson 1.2,Grammar catch-up,lo13,FALSE
lo14,completed,100,100,1,333,Lesson 1.2,Grammar activity 1,lo14,FALSE
lo15,completed,20,70,3,512,Lesson 1.2,Grammar activity 2,lo15,FALSE
lo16,completed,20,80,4,112,Lesson 1.2,Grammar activity 3,lo16,FALSE
lo17,completed,70,70,1,22,Lesson 1.3,Functional language activity,lo17,FALSE
lo18,completed,85,85,1,455,Lesson 1.3,Real world strategy,lo18,FALSE
lo19,completed,,,,50,Lesson 1.3,Audio Roleplay 1,lo19,TRUE
lo20,completed,,,,55,Lesson 1.3,Audio Roleplay 2,lo20,TRUE
lo21,completed,60,87,5,441,Lesson 1.4,Pre-reading,lo21,FALSE
lo22,completed,100,100,1,98,Lesson 1.4,Reading exercise,lo22,FALSE
lo23,completed,75,75,1,95,Lesson 1.4,Writing practice,lo23,FALSE
lo24,completed,,,,45,Lesson 1.4,Free-writing activity,lo24,TRUE
lo25,completed,34,80,2,123,Lesson 1.5,Grammar and vocabulary review,lo25,FALSE
lo26,completed,80,80,1,32,Lesson 1.5,Useful language 1,lo26,FALSE
lo27,completed,66,77,2,321,Lesson 1.5,Useful language 2,lo27,FALSE
lo28,completed,,,,345,Lesson 1.5,Free-speaking activity,lo28,TRUE
lo29,notStarted,,,0,0,Lesson 2.1,Vocabulary catch-up,lo29,FALSE
lo30,notStarted,,,0,0,Lesson 2.1,Vocabulary 1,lo30,FALSE
lo31,notStarted,,,0,0,Lesson 2.1,Vocabulary 2,lo31,FALSE
lo32,notStarted,,,0,0,Lesson 2.1,Vocabulary 3,lo32,FALSE
lo33,notStarted,,,0,0,Lesson 2.1,Vocabulary 4,lo33,FALSE
lo34,notStarted,,,0,0,Lesson 2.1,Grammar catch-up,lo34,FALSE
lo35,notStarted,,,0,0,Lesson 2.1,Grammar activity 1,lo35,FALSE
lo36,notStarted,,,0,0,Lesson 2.1,Grammar activity 2,lo36,FALSE
lo37,notStarted,,,0,0,Lesson 2.1,Grammar activity 3,lo37,FALSE
lo38,notStarted,,,0,0,Lesson 2.2,Vocabulary catch-up,lo38,FALSE
lo39,notStarted,,,0,0,Lesson 2.2,Vocabulary 1,lo39,FALSE
lo40,notStarted,,,0,0,Lesson 2.2,Vocabulary 2,lo40,FALSE
lo41,notStarted,,,0,0,,,,
lo42,notStarted,,,0,0,,,,
lo43,notStarted,,,0,0,,,,
lo44,notStarted,,,0,0,,,,
lo45,notStarted,,,0,0,,,,
lo46,notStarted,,,0,0,,,,
lo47,notStarted,,,0,0,,,,
lo48,notStarted,,,0,0,,,,
lo49,notStarted,,,0,0,,,,
lo50,notStarted,,,0,0,,,,
lo51,notStarted,,,0,0,,,,
lo52,notStarted,,,0,0,,,,
lo53,notStarted,,,0,0,,,,
lo54,notStarted,,,0,0,,,,
lo55,notStarted,,,0,0,,,,
lo56,notStarted,,,0,0,,,,
lo57,notStarted,,,0,0,,,,
lo58,notStarted,,,0,0,,,,
