unit_name,lesson_name,LO_name,LO_id,nonscorable
Unit 1,Lesson 1,Vocab catch-up,lo1,FALSE
Unit 1,Lesson 1,Vocabulary 1,lo2,FALSE
Unit 1,Lesson 1,Vocabulary 2,lo3,FALSE
Unit 1,Lesson 1,Vocabulary 3,lo4,FALSE
Unit 1,Lesson 1,Vocabulary 4,lo5,FALSE
Unit 1,Lesson 1,Grammar catch-up,lo6,FALSE
Unit 1,Lesson 1,Grammar activity 1,lo7,FALSE
Unit 1,Lesson 1,Grammar activity 2,lo8,FALSE
Unit 1,Lesson 1,Grammar activity 3,lo9,FALSE
Unit 1,Lesson 2,Vocab catch-up,lo10,FALSE
Unit 1,Lesson 2,Vocabulary 1,lo11,FALSE
Unit 1,Lesson 2,Vocabulary 2,lo12,FALSE
Unit 1,Lesson 2,Grammar catch-up,lo13,FALSE
Unit 1,Lesson 2,Grammar activity 1,lo14,FALSE
Unit 1,Lesson 2,Grammar activity 2,lo15,FALSE
Unit 1,Lesson 2,Grammar activity 3,lo16,FALSE
Unit 1,Lesson 3,Functional language activity,lo17,FALSE
Unit 1,Lesson 3,Real world strategy,lo18,FALSE
Unit 1,Lesson 3,Audio Roleplay,lo19,TRUE
Unit 1,Lesson 3,Audio Roleplay,lo20,TRUE
Unit 1,Lesson 4,Pre-reading/listening,lo21,FALSE
Unit 1,Lesson 4,readling/listening,lo22,FALSE
Unit 1,Lesson 4,writing practice,lo23,FALSE
Unit 1,Lesson 4,free-writing activity,lo24,TRUE
Unit 1,Lesson 5,grammar and vocab review,lo25,FALSE
Unit 1,Lesson 5,useful language 1,lo26,FALSE
Unit 1,Lesson 5,useful language 2,lo27,FALSE
Unit 1,Lesson 5,Free speaking activity,lo28,TRUE
Unit 2,Lesson 1,Vocab catch-up,lo29,FALSE
Unit 2,Lesson 1,Vocabulary 1,lo30,FALSE
Unit 2,Lesson 1,Vocabulary 2,lo31,FALSE
Unit 2,Lesson 1,Vocabulary 3,lo32,FALSE
Unit 2,Lesson 1,Vocabulary 4,lo33,FALSE
Unit 2,Lesson 1,Grammar catch-up,lo34,FALSE
Unit 2,Lesson 1,Grammar activity 1,lo35,FALSE
